,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2018-05,14364.967391304348,90195.65217391304,6825.478260869565,2300.695652173913,12350.689655172413,10.715935444777612,8.915892053973014,2.33792243878061,0.31469285357321347,7.9640653983353165
2018-06,15105.654761904761,81188.09523809524,6965.857142857143,2237.6190476190477,11561.612903225807,11.268471195949644,8.025489874110564,2.3860062397372745,0.30606513409961694,7.455246941045608
2018-07,13793.863636363636,70647.72727272728,6250.75,2082.2386363636365,10983.712737127371,10.289905172413794,6.983568443051202,2.1410614942528734,0.2848119514106584,7.082600971871789
2018-08,13408.16304347826,63324.19565217391,6052.804347826087,2052.4347826086955,12075.419664268587,10.0021813968016,6.259633133433283,2.0732594202898555,0.2807353323338331,7.786563714545607
2018-09,12510.35,62210.325,6050.7625,2026.4625,12009.40251572327,9.332433505747128,6.149526379310345,2.0725600287356323,0.27718280172413795,7.743994036000869
2018-10,12314.91304347826,60626.782608695656,6219.586956521739,2029.858695652174,12430.06501182033,9.186642028985506,5.992992303848077,2.1303872563718143,0.27764733883058473,8.015248817966905
2018-11,11239.71590909091,54962.931818181816,6195.920454545455,1938.5113636363637,12646.302784993657,8.384569683908047,5.433117398119123,2.122280799373041,0.26515270376175554,8.154684899289016
2018-12,10831.833333333334,55238.09523809524,6061.642857142857,1918.2261904761904,12572.22582263198,8.080298659003834,5.4603174603174605,2.076286863711002,0.2623780651340996,8.106918030455795
2019-01,11483.152173913044,41326.086956521736,5939.532608695652,1854.108695652174,12997.193345261583,8.566167541229387,4.0851074462768615,2.034460594702649,0.2536079710144928,8.380948812289367
2019-02,12685.225,32100.0,6300.4875,1862.9875,12997.193345261583,9.462886235632185,3.173103448275862,2.1580980172413793,0.2548224281609196,8.380948812289367
2019-03,13026.27380952381,31333.333333333332,6439.464285714285,1871.2142857142858,12997.193345261583,9.717300807334428,3.0973180076628353,2.2057015599343184,0.25594770114942533,8.380948812289367
2019-04,12755.988636363636,33636.36363636364,6440.397727272727,1846.1363636363637,12997.193345261583,9.515674281609197,3.324973876698015,2.206021290491118,0.25251750261233025,8.380948812289367
2019-05,12035.91304347826,34152.17391304348,6023.358695652174,1780.304347826087,12997.193345261583,8.97851444277861,3.375962018990505,2.0631734382808595,0.24351289355322345,8.380948812289367
2019-06,11943.9375,28809.0,5882.225,1755.95,12997.193345261583,8.909902801724138,2.847786206896552,2.014831091954023,0.2401816666666667,8.380948812289367
2019-07,13546.304347826086,27340.32608695652,5941.195652173913,1796.9891304347825,12786.713899959092,10.105231634182909,2.7026069465267364,2.035030234882559,0.2457950649675163,8.245225859628796
2019-08,15747.477272727272,30227.863636363636,5705.056818181818,1740.840909090909,12786.713899959092,11.74725603448276,2.988041692789969,1.9541458986415883,0.23811502089864164,8.245225859628796
2019-09,17656.880952380954,35720.42857142857,5759.25,1753.5119047619048,12786.713899959092,13.171627285166943,3.530984893267652,1.9727086206896554,0.2398481800766284,8.245225859628796
2019-10,17310.035714285714,35112.107142857145,5691.114285714286,1721.732142857143,12786.713899959092,12.912888711001644,3.4708519704433503,1.949370180623974,0.23550129310344833,8.245225859628796
